,release_year,Adult,Kids,Older Kids,Teens,Movie,TV Show,show_duration,movie_duration
150,2009,0,0,1,0,1,0,0,90
151,1999,1,0,0,0,1,0,0,105
152,1986,0,0,0,1,1,0,0,103
153,2019,0,0,0,1,1,0,0,116
154,2006,1,0,0,0,1,0,0,113
155,2007,1,0,0,0,1,0,0,99
156,2010,0,0,0,1,1,0,0,148
157,1999,1,0,0,0,1,0,0,189
158,1995,0,0,0,1,1,0,0,97
159,1991,0,0,0,1,1,0,0,102
160,1994,0,0,1,0,1,0,0,99
161,2015,0,0,1,0,1,0,0,85
162,2008,1,0,0,0,1,0,0,112
163,2009,0,0,1,0,1,0,0,91
164,2019,0,0,0,1,1,0,0,91
165,2003,0,0,0,1,1,0,0,141
166,2000,0,0,0,1,1,0,0,130
167,2004,1,0,0,0,1,0,0,98
168,2016,1,0,0,0,1,0,0,105
169,2013,1,0,0,0,1,0,0,101
170,1991,1,0,0,0,1,0,0,105
171,2011,1,0,0,0,1,0,0,118
172,2010,0,0,0,1,1,0,0,97
173,2004,1,0,0,0,1,0,0,102
174,1995,0,0,0,1,1,0,0,114
175,2000,1,0,0,0,1,0,0,111
176,2010,0,0,0,1,1,0,0,125
177,2014,0,0,0,1,1,0,0,103
178,2013,0,0,1,0,1,0,0,94
179,2021,1,0,0,0,1,0,0,92
180,2021,0,0,0,1,0,1,7,0
181,2012,1,0,0,0,1,0,0,143
182,2019,1,0,0,0,1,0,0,117
183,2012,1,0,0,0,1,0,0,165
184,2021,0,0,1,0,1,0,0,91
185,2021,1,0,0,0,1,0,0,111
186,2013,0,0,1,0,1,0,0,64
187,2009,0,0,1,0,1,0,0,68
188,2021,1,0,0,0,1,0,0,99
189,2020,0,0,0,1,1,0,0,105
190,2020,1,0,0,0,1,0,0,102
191,2021,0,0,0,1,1,0,0,91
192,2021,1,0,0,0,1,0,0,88
193,2021,1,0,0,0,1,0,0,101
194,2017,1,0,0,0,1,0,0,94
195,2017,0,0,0,1,1,0,0,105
196,2011,0,0,0,1,1,0,0,117
197,2012,0,0,0,1,1,0,0,115
198,2010,0,0,0,1,1,0,0,124
199,2009,0,0,0,1,1,0,0,131
200,2008,0,0,0,1,1,0,0,122
201,2021,0,0,1,0,1,0,0,113
202,2007,0,0,1,0,1,0,0,86
203,2021,1,0,0,0,1,0,0,95
204,2019,1,0,0,0,1,0,0,87
205,2015,1,0,0,0,1,0,0,96
206,2016,0,0,1,0,1,0,0,94
207,2017,0,0,0,1,1,0,0,104
208,2017,0,0,0,1,1,0,0,97
209,2018,0,0,0,1,1,0,0,91
210,2015,1,0,0,0,1,0,0,106
211,2014,0,0,0,1,1,0,0,90
212,2010,0,0,0,1,1,0,0,104
213,2021,1,0,0,0,0,1,2,0
214,2021,0,1,0,0,1,0,0,92
215,2019,1,0,0,0,1,0,0,95
216,2020,0,0,0,1,1,0,0,105
217,2012,0,0,0,1,1,0,0,116
218,1976,1,0,0,0,1,0,0,124
219,2018,0,0,1,0,1,0,0,101
220,2019,0,1,0,0,1,0,0,95
221,2018,0,0,0,1,1,0,0,128
222,1959,0,0,0,1,1,0,0,143
223,2021,1,0,0,0,1,0,0,136
224,2020,1,0,0,0,1,0,0,136
225,2013,1,0,0,0,1,0,0,126
226,2021,0,0,0,1,1,0,0,116
227,2018,0,0,0,1,1,0,0,100
228,2012,1,0,0,0,1,0,0,115
229,1997,1,0,0,0,1,0,0,125
230,2002,0,0,0,1,1,0,0,94
231,1997,0,0,0,1,1,0,0,90
232,1999,0,0,0,1,1,0,0,95
233,1997,1,0,0,0,1,0,0,155
234,2000,0,0,0,1,1,0,0,98
235,1995,0,0,0,1,1,0,0,108
236,1993,0,0,1,0,1,0,0,96
237,2019,0,0,0,1,1,0,0,117
238,2019,0,0,0,1,1,0,0,103
239,2008,0,0,1,0,1,0,0,94
240,2011,0,0,1,0,1,0,0,93
241,2010,0,0,0,1,1,0,0,115
242,2019,1,0,0,0,1,0,0,120
243,2005,0,0,0,1,1,0,0,145
244,1988,1,0,0,0,1,0,0,126
245,1995,0,0,0,1,1,0,0,101
246,2016,0,0,0,1,1,0,0,118
247,2011,1,0,0,0,1,0,0,109
248,2001,1,0,0,0,1,0,0,89
249,2018,0,0,0,1,1,0,0,106
250,2019,1,0,0,0,1,0,0,101
251,2008,0,0,0,1,1,0,0,123
252,2010,1,0,0,0,1,0,0,106
253,2000,0,0,1,0,1,0,0,89
254,2009,0,0,0,1,1,0,0,128
255,1999,0,0,1,0,1,0,0,85
256,2019,1,0,0,0,1,0,0,89
257,2006,0,0,0,1,1,0,0,108
258,2010,1,0,0,0,1,0,0,105
259,2019,0,0,0,1,1,0,0,133
260,1997,1,0,0,0,1,0,0,129
261,1984,0,0,1,0,1,0,0,127
262,1986,0,0,1,0,1,0,0,113
263,1989,0,0,1,0,1,0,0,112
264,2003,1,0,0,0,1,0,0,130
265,1980,1,0,0,0,1,0,0,100
266,2006,0,0,0,1,1,0,0,103
267,2008,1,0,0,0,1,0,0,85
268,2002,0,0,0,1,1,0,0,124
269,2010,0,0,0,1,1,0,0,103
270,2003,1,0,0,0,1,0,0,121
271,2012,1,0,0,0,1,0,0,89
272,2009,1,0,0,0,1,0,0,92
273,2020,1,0,0,0,1,0,0,112
274,1998,0,0,0,1,1,0,0,114
275,1998,1,0,0,0,1,0,0,116
276,2021,1,0,0,0,1,0,0,98
277,2019,1,0,0,0,1,0,0,100
278,2012,1,0,0,0,1,0,0,97
279,2019,0,0,0,1,1,0,0,83
280,2010,1,0,0,0,1,0,0,101
281,2021,0,0,0,1,1,0,0,109
282,2021,1,0,0,0,1,0,0,87
283,2016,0,0,0,1,1,0,0,96
284,2003,1,0,0,0,1,0,0,84
285,2014,1,0,0,0,1,0,0,125
286,2016,1,0,0,0,1,0,0,119
287,2015,1,0,0,0,1,0,0,105
288,2019,0,0,0,1,0,1,4,0
289,2018,1,0,0,0,0,1,1,0
290,2021,0,0,0,1,1,0,0,111
291,2020,0,0,0,1,1,0,0,119
292,2019,0,0,1,0,1,0,0,13
293,2020,1,0,0,0,1,0,0,101
294,2019,1,0,0,0,1,0,0,96
295,2012,1,0,0,0,1,0,0,122
296,2019,0,0,0,1,1,0,0,89
297,2016,0,0,0,1,1,0,0,98
298,2021,1,0,0,0,1,0,0,119
299,1972,1,0,0,0,1,0,0,104
300,2013,1,0,0,0,1,0,0,101
301,2020,1,0,0,0,1,0,0,99
302,2005,1,0,0,0,1,0,0,84
303,2014,0,1,0,0,0,1,1,0
304,2014,1,0,0,0,0,1,1,0
305,2021,1,0,0,0,1,0,0,89
306,2021,0,0,1,0,1,0,0,113
307,2021,0,0,1,0,1,0,0,110
308,2021,1,0,0,0,0,1,1,0
309,2021,0,0,1,0,1,0,0,102
310,2014,1,0,0,0,1,0,0,86
311,2012,1,0,0,0,1,0,0,91
312,2021,1,0,0,0,1,0,0,117
313,2014,1,0,0,0,1,0,0,99
314,2019,0,0,0,1,1,0,0,77
315,2021,1,0,0,0,1,0,0,97
316,2013,1,0,0,0,1,0,0,106
317,2021,1,0,0,0,1,0,0,97
318,2014,0,0,0,1,1,0,0,104
319,2018,1,0,0,0,1,0,0,110
320,2020,1,0,0,0,1,0,0,98
321,2021,0,0,1,0,1,0,0,74
322,2021,1,0,0,0,0,1,2,0
323,2021,0,0,0,1,1,0,0,103
324,2021,0,0,0,1,1,0,0,94
325,2021,1,0,0,0,1,0,0,112
326,2021,1,0,0,0,1,0,0,49
327,2021,1,0,0,0,1,0,0,111
328,2021,0,0,0,1,1,0,0,72
329,2019,1,0,0,0,1,0,0,78
330,2020,0,0,0,1,1,0,0,101
331,2012,1,0,0,0,1,0,0,110
332,2001,0,0,0,1,1,0,0,94
333,2009,1,0,0,0,1,0,0,70
334,2000,0,0,0,1,1,0,0,118
335,1997,1,0,0,0,1,0,0,103
336,2021,1,0,0,0,1,0,0,95
337,2011,1,0,0,0,1,0,0,93
338,2013,1,0,0,0,1,0,0,101
339,2003,1,0,0,0,1,0,0,101
340,2001,0,0,0,1,1,0,0,89
341,2015,1,0,0,0,1,0,0,109
342,2008,1,0,0,0,1,0,0,104
343,2010,0,0,1,0,1,0,0,90
344,1997,0,0,0,1,1,0,0,109
345,2019,0,0,0,1,1,0,0,145
346,2011,1,0,0,0,1,0,0,88
347,2001,0,0,0,1,1,0,0,132
348,1997,1,0,0,0,1,0,0,109
349,2004,0,0,0,1,1,0,0,133
350,2012,0,0,0,1,1,0,0,85
351,2011,1,0,0,0,1,0,0,104
352,2009,1,0,0,0,1,0,0,99
353,2006,0,0,1,0,0,1,1,0
354,2006,1,0,0,0,1,0,0,93
355,2014,1,0,0,0,1,0,0,98
356,2004,0,0,0,1,1,0,0,101
357,1984,0,0,1,0,1,0,0,94
358,2001,1,0,0,0,1,0,0,99
359,1981,0,0,1,0,1,0,0,108
360,2005,0,0,0,1,1,0,0,128
361,2015,0,0,0,1,1,0,0,104
362,1996,0,0,0,1,1,0,0,127
363,1976,0,0,1,0,1,0,0,136
364,2018,1,0,0,0,1,0,0,97
365,2019,1,0,0,0,1,0,0,88
366,2019,1,0,0,0,1,0,0,97
367,2018,1,0,0,0,1,0,0,97
368,2021,1,0,0,0,1,0,0,88
369,2016,0,0,0,1,1,0,0,97
370,2021,0,0,1,0,1,0,0,97
371,2021,1,0,0,0,1,0,0,118
372,2021,1,0,0,0,1,0,0,70
373,2018,1,0,0,0,1,0,0,91
374,2021,1,0,0,0,1,0,0,92
375,2015,0,0,1,0,1,0,0,94
376,2021,0,0,0,1,1,0,0,131
377,2021,1,0,0,0,1,0,0,148
378,2011,0,0,0,1,1,0,0,92
379,2011,0,0,1,0,1,0,0,88
380,2014,1,0,0,0,1,0,0,109
381,2017,1,0,0,0,1,0,0,92
382,2021,0,0,0,1,1,0,0,101
383,2021,0,0,0,1,1,0,0,140
384,2016,1,0,0,0,1,0,0,89
